"","ID","A1_1","A1_2","B1","C1_1","A2_1","A2_2","B2","C2_1","A3_1","A3_2","B3","C3_1","A4_1","A4_2","B4","C4_1","A5_1","A5_2","B5","C5_1","A6_1","A6_2","B6","C6_1","A7_1","A7_2","B7","C7_1","A8_1","A8_2","B8","C8_1","A9_1","A9_2","B9","C9_1","A10_1","A10_2","B10","C10_1","doubt_other_inst","doubt_same_inst","doubt_students","doubt_yourself","study"
"170","R_3oTOx0qtQQxyvhw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"171","R_6mOm3nfHIgwj3OR",NA,NA,NA,NA,NA,NA,NA,NA,"91","87","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","71","2","1",NA,NA,NA,NA,NA,NA,NA,NA,"2"
"172","R_3MbPsy0Wq0TnLvz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3",NA,NA,"2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1",NA,NA,NA,NA,"2"
"173","R_2YonHJTTvolgy3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"174","R_2xDXioDE9B31qae",NA,NA,NA,NA,NA,NA,NA,NA,"80","29","2","2","50","1","2","2","59","8","2","1","49","4","2","1","29","1","2","1",NA,NA,NA,NA,NA,NA,NA,NA,"69","2","2","1",NA,NA,NA,NA,"2"
"175","R_2ah6VN3YqHphxol","35","7","2","1","40","22","2","2","80","51","1","2","80","62","1","2","40","36","2","1","79","66","2","1","6",NA,"2","1","49","5","2","1","70","49","1","1","16","6","2","1",NA,NA,NA,NA,"2"
"176","R_e2MTlhCS1tuf3db",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"177","R_0HrPVBae5atCPfP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"178","R_5p4WUJo1353GA4Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"179","R_1EjtJ57Ibg0tS1v",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"180","R_aUYoNE15xhjrqwB","60","50","1","2","20","90","2","3","90","100","1","3","60","90","1","3","5","20","2","2","50","50","2","1","30","5","2","1","19","9","2","2","25","5","2","1","20","20","2","1",NA,NA,NA,NA,"2"
"181","R_4OrO66OeArL0N81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"182","R_3m9tS3r8hQmnN7T","76","76","1","2","24","13","2","1","39","28","2","2","13","12","2","2","27","49","2","2","31","63","1","3","13","0","2","1","66","4","1","2","71","73","1","2","21","10","2","1","2","2","2","1","2"
"183","R_26hCrxss4d1mbDz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"184","R_ebopaggk1nxmSYB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"185","R_2ffU1ROUYKKzA6G",NA,NA,NA,NA,"31","13","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"186","R_3J3pSgmfNQ27H07","100","70","2","2",NA,NA,NA,NA,"80","40","2","1","100","100","1","3","80","70","2","3","50","30","2","2","9","0","2","1","100","80","1","2","70","10","2","3","20","0","2","1",NA,NA,NA,NA,"2"
"187","R_1gjuCZks4BRmEfd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"188","R_3fvmBvGsPRtcP5o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"189","R_bPezsu7pIUVFmK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"190","R_20upp7axEBBsoYd",NA,NA,NA,NA,"68","62","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"191","R_2R4Xv0yDWZiZ2XY","61","49","1","3","49","41","2","1","49","50","2","2","70","71","1","3","9","9","2","2","50","40","1","2","29","0","2","1","50","20","2","2","70","59","1","2","50","20","2","1","2","2","1","1","2"
"192","R_3sbKeWrV70FCxpj","20","5","2","1","30","19","2","1","40","5","2","2","80","50","2","2","50","19","2","1","81","9","2","2","5","0","2","1","30","2","2","1","5","0","2","2","10","5","2","1","3","3","2","1","2"
"193","R_vwc243dytXhDYn7","79","51","2","2",NA,NA,"2","1",NA,NA,"2","1",NA,NA,"2","1","0",NA,"2","1",NA,NA,"2","1",NA,NA,"2","1",NA,NA,"2","1",NA,NA,"2","1",NA,NA,"2","1","3","3","3","1","2"
"194","R_30csiCkoviZ31Lc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"195","R_ZsCnpH77aMIyAZX","50","30","2","1","10","5","2","2","40","9","2","1","90","50","1","2","80","60","1","2","33","0","2","1","9","0","2","1","50","0","2","1","20","0","2","1","29","20","2","1","3","3","3","2","2"
"196","R_dom9tMKfJRGtRrf","100","100","1","3","53","57","2","2","87","96","1","3","100","100","1","3","61","100","2","3","73","12","1","2","54","1","2","1","77","88","1","2","75","3","2","1","1","1","2","1","2","2","3","1","2"
"197","R_2xXZStNm3p5QSER","70","50","2","2","19","39","2","2","40","31","2","2","19","9","2","2","9","29","2","1","60","51","2","2","0","0","2","1","2","9","2","1","20","29","2","1","1","0","2","1","2","2","2","2","2"
"198","R_3nNTAYwOqz0LGbY","91","21","2","1","20","1","2","1","7","2","2","2","7","2","2","1","9","1","2","1","50","1","1","2","28","1","2","1","26","4","2","1","3","1","2","1","11","1","2","1","3","3","2","1","2"
"199","R_b95UcvuFoVO0UZr","80","14","2","2","49","14","2","2","58","10","2","1","9","4","2","2","70","12","2","2","32","16","2","1","5","2","2","1","30","4","2","2","9","4","2","1","14","6","2","1","3","1","1","1","2"
"200","R_3oRzk7nUryeBT6G","90","60","1","2","70","60","2","1","100","100","1","3","80","81","1","2","91","70","1","2","100","81","1","2","10","12","2","1","51","52","2","1","91","91","1","2","29","29","2","1","1","1","1","1","2"
"201","R_b4nHszEvuOFkgOV","38","29","2","1","19","9","2","1","30","10","2","1","20","9","2","1","9","9","2","1","30","10","2","1","9","3","2","1","31","31","2","1",NA,NA,NA,NA,"8","8","2","1","2","2","2","1","2"
"202","R_1N54Cq54JNjQ5lH","72","60","1","2","59","52","1","2","70","63","1","2","62","58","2","1","53","44","2","1","84","41","1","1","29","0","2","1","40","7","2","1","51","46","2","1","42","20","2","1","3","3","3","2","2"
"203","R_1kOApEsUkfXwBSx","60","9","2","2","69","50","2","2","100","0","1","2","70","70","1","3","49","9","2","2","30","30","2","2","0","0","2","1","91","49","1","2","0","0","2","1","8","0","2","1","1","1","1","1","2"
"204","R_28ZY3DI0RgVwiUr","20","0","2","1","5","0","2","1","70","19","1","3","70","40","2","3","30","20","2","2","60","0","2","1","3","0","2","1","90","50","1","2","10","0","2","1","19","19","2","1","1","2","1","1","2"
"205","R_3WsaR5jaEBnzKfL","80","50","1","2","20","9","2","1","80","61","2","2","60","30","2","3","30","9","2","2","81","50","1","2","10","2","2","1","70","30","1","2","70","30","2","2","6","2","2","1","3","3","3","2","2"
"206","R_1mKupLBUrGLQIEn","92","50","1","3","19","10","2","2","0","0","2","2","80","80","1","3","39","9","2","3","90","30","1","3","10","0","2","1","71","20","1","2","39","9","2","1","8","0","2","1","1","2","1","1","2"
"207","R_eJ2P6DhekHEYwPD","100","1","1","2","30","1","2","1","9","1","2","3","95","1","1","2","90","1","1","3","91","1","1","3","1","0","2","1","30","1","2","1","71","1","2","2","9","0","2","1","1","3","1","1","2"
"208","R_1pnXBYcxZOzgaVN","94","23","2","1","54","22","2","1","91","26","1","2","64","4","2","1","86","58","2","2","77","14","2","1","30","0","2","1","81","27","2","1","50","20","2","1","54","0","2","1","2","3","4","2","2"
"209","R_9KO70ho00Ttv6pz","70","20","1","2","30","4","2","1","81","39","1","2","91","98","1","3","60","20","1","2","90","70","1","2","20","0","2","1","50","10","2","1","70","2","2","1","60","50","2","1","3","3","3","3","2"
"210","R_2xzbpE57ZJQs7RM","50","10","2","2","19","19","2","1","22","6","2","1","50","9","1","2","19","7","2","1","81","1","2","1","20","6","2","1","61","5","2","2","21","2","2","1","29","8","2","1","3","3","3","3","2"
"211","R_5BdMckFiBIAtub7","89","48","1","2","73","43","2","1","63","19","1","2","75","54","1","2","30","11","2","1","61","40","2","2","37","0","2","1","87","35","1","2","52","30","2","1","51","34","2","1","3","3","3","1","2"
"212","R_1MXo5DiYn439QzM","91","20","1","2","9","8","2","1","10","3","2","1","39","82","2","2","8","9","2","2","21","9","1","2","7","0","2","1","90","8","2","2","80","90","1","3","38","12","2","2","3","3","2","1","2"
"213","R_D8csUV1mE2fIgvL","80","20","2","2","39","1","2","1","70","0","2","2","60","29","2","2","19","0","2","1","20","0","2","1","20","1","2","1","31","20","1","2","41","0","2","1","30","0","2","1","2","1","1","1","2"
"214","R_24CTYEBGQhHDwGy","71","9","2","1","9","1","2","1","20","9","2","1","50","60","1","2","12","18","2","2","0","0","2","1","0","0","2","1","40","29","1","2","50","9","1","2","0","0","2","1","2","1","2","1","2"
"215","R_87GHGTZzkqVhWFD","90","50","2","2","30","29","2","2","71","51","2","2","81","49","1","3","18","8","2","2","80","51","1","2","7","0","2","1","80","50","2","2","50","9","2","1","0","0","2","1","2","2","2","1","2"
"216","R_2anLmKn3GEttElJ","40","10","2","1","40","30","1","2","18","4","2","1","60","7","2","1","4","0","2","1","70","20","2","2","7","0","2","1","3","0","2","1","50","0","2","1","17","0","2","1","3","2","1","1","2"
"217","R_3PWZZ29zD9PI6XC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"218","R_28Apkvgjj6ek3km","91","9","1","1","70","30","1","1","90","30","1","1","71",NA,"1","2","71","9","1","1","81","40","1","2","40","0","2","1","80","31","2","1","70","2","2","1","19","50","2","1","4","4","3","1","2"
"219","R_6JWjTN3SLlwYwHr","22","5","2","1","3","1","2","1","41","3","1","2","23","3","2","1","19","3","2","2","19","2","2","1","3","1","2","1","6","3","2","1","31","9","2","1","20","4","2","1","3","2","2","2","2"
"220","R_5h8WfDQ3wD6JrKt","50","29","2","1","11","6","2","2","21","1","2","1","42","18","2","1","26","5","2","2","50","29","2","1","5","0","2","1","70","27","2","1","11","3","2","2","83","74","2","1","2","2","3","1","2"
"221","R_1q9b7jz6yRs3dKJ","90","70","2","1","20","10","2","2","90","80","1","1","90","80","2","2","30","20","2","2","50","25","2","1","30","5","1","1","90","10","1","1","10","5","2","1","20","15","1","1","3","3","2","2","2"
"222","R_1JXWSwVJXKLHgKS","70","25","2","1","22","14","2","1","44","24","2","2","30","20","2","2","10","6","2","1","15","6","2","2","10","5","2","1","56","31","2","2","55","40","2","1","10","4","2","1","3","4","2","1","2"
"223","R_1pQmg8D3OQ9gWtQ",NA,NA,"1","2",NA,NA,"2","1",NA,NA,"2","2",NA,NA,"2","3",NA,NA,"2","1",NA,NA,"2","1",NA,NA,"2","1",NA,NA,"1","2",NA,NA,"2","2",NA,NA,"2","1","2","1","1","1","2"
"224","R_1i2Qc7McfHErzsR","60","10","2","1","19","10","2","1","40","10","2","1","60","20","2","2","41","21","2","2","40","8","2","2","9","0","2","1","31","9","2","1","0","3","2","1","30","9","2","1","1","1","1","1","2"
"225","R_8rg2BGOzkmTYO8V","99","93","1","2","92","78","2","1","96","83","1","2","70","70","1","3","79","73","2","1","78","73","2","1","1","0","2","1","93","31","1","1","96","6","1","2","89","84","2","1","4","2","4","1","2"
"226","R_2VqC7jGPhK6z1Gx","85","4","1","1","70","20","2","1","60","20","1","2","80","50","1","2","85","1","1","2","80","10","1","2","50","0","2","1","70","30","1","2","90","2","2","1","20","10","2","1","3","3","3","2","2"
"227","R_1CycAxPhsSTqqkH","47",NA,"2","2","0","0","2","1","49","44","1","3","64","66","2","2","12","11","2","2","26",NA,"2","1","0","0","2","1","0","0","2","1","91","91","1","3","0","0","2","1","1","1","1","1","2"
